FID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1218324,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0434,2017/01/05 05:00:00
2,1218327,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,6,6A,1031,2017/01/03 18:40:59
3,1218329,7399,62,SAC CITY CODE,12.52.030(A) UNLAWFUL CAMP-PUB,2,2A,0503,2017/01/05 17:25:00
4,1218331,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1403,2017/01/05 03:00:00
5,1218334,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4C,1247,2017/01/04 00:59:59
6,1218337,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,UI,UI,UI,2017/01/05 18:59:59
7,1218350,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,4,4A,0905,2017/01/05 06:00:00
8,1218351,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0411,2017/01/05 03:00:00
9,1218357,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6B,1007,2017/01/05 21:30:00
10,1218358,2399,2,LARCENY,484 PC PETTY THEFT,2,2B,0564,2017/01/05 02:15:00
11,1218361,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0785,2017/01/05 06:00:00
12,1218366,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1295,2017/01/04 06:10:00
13,1218369,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0440,2017/01/02 10:30:00
14,1218370,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0626,2017/01/05 05:00:00
15,1218372,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,3,3M,0732,2017/01/04 19:54:59
16,1218373,5212,54,WEAPON OFFENSE,21310 POSS DIRK/DAGGER-FEL,5,5C,1624,2017/01/05 00:08:59
17,1218377,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5B,1603,2017/01/04 15:45:00
18,1218378,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1522,2017/01/02 02:00:00
19,1218379,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0784,2017/01/06 00:10:00
20,1218380,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,1,1B,0444,2017/01/05 18:46:59
21,1218387,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4A,0957,2017/01/05 22:20:00
22,1218390,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0602,2017/01/05 05:00:00
23,1218392,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5C,1654,2017/01/03 15:59:59
