OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
1,1495270,0999,1,HOMICIDE,187(A) HOMICIDE,6,6C,1132,2021/01/01 14:32:00+00
2,1495287,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0976,2021/01/01 09:08:00+00
3,1495302,5404,10,TRAFFIC,23153(A) DUI ALCOHOL W/INJ,1,1A,0123,2021/01/01 09:41:00+00
4,1495303,0999,1,HOMICIDE,187(A) HOMICIDE,6,6A,1032,2021/01/01 11:05:00+00
5,1495313,1299,2,ROBBERY,211 PC ROBBERY-BUSINESS,4,4A,0918,2021/01/01 22:25:00+00
6,1495316,0999,1,HOMICIDE,187(A) HOMICIDE,6,6C,1132,2021/01/01 14:32:00+00
7,1495342,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0728,2021/01/01 11:06:00+00
8,1495345,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1401,2021/01/01 08:00:00+00
9,1495356,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4A,0906,2021/01/02 03:49:00+00
10,1495358,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,1,1A,0344,2021/01/01 09:12:00+00
11,1495380,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0409,2021/01/02 13:30:00+00
12,1495381,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,5,5B,1603,2021/01/02 04:26:00+00
13,1495383,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,2,2B,0563,2021/01/02 02:16:00+00
14,1495384,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,3,3B,0746,2021/01/01 23:32:00+00
15,1495385,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,2,2B,0553,2021/01/01 22:31:00+00
16,1495386,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2A,0221,2021/01/01 14:37:00+00
17,1495398,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2C,0603,2021/01/01 09:47:00+00
18,1495417,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,6,6C,1406,2021/01/02 12:17:00+00
19,1495418,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,0551,2021/01/01 08:51:00+00
20,1495420,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,0603,2021/01/02 03:15:00+00
21,1495421,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1A,0106,2021/01/02 05:03:00+00
22,1495422,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1369,2021/01/02 06:04:00+00
23,1495424,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1111,2021/01/02 05:00:00+00
24,1495426,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,0553,2021/01/01 08:18:00+00
25,1495430,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,2,2C,0604,2021/01/02 01:59:00+00
